Station: 212 | Date: 2015-06-01 | Daily DSV: 0 | Cumulative DSV: 0
Station: 212 | Date: 2015-06-02 | Daily DSV: 0 | Cumulative DSV: 0
Station: 212 | Date: 2015-06-03 | Daily DSV: 0 | Cumulative DSV: 0
Station: 212 | Date: 2015-06-04 | Daily DSV: 0 | Cumulative DSV: 0
Station: 212 | Date: 2015-06-05 | Daily DSV: 0 | Cumulative DSV: 0
Station: 212 | Date: 2015-06-06 | Daily DSV: 0 | Cumulative DSV: 0
Station: 212 | Date: 2015-06-07 | Daily DSV: 0 | Cumulative DSV: 0
Station: 212 | Date: 2015-06-08 | Daily DSV: 0 | Cumulative DSV: 0
Station: 212 | Date: 2015-06-09 | Daily DSV: 0 | Cumulative DSV: 0
Station: 212 | Date: 2015-06-10 | Daily DSV: 0 | Cumulative DSV: 0
Station: 212 | Date: 2015-06-11 | Daily DSV: 0 | Cumulative DSV: 0
Station: 212 | Date: 2015-06-12 | Daily DSV: 0 | Cumulative DSV: 0
Station: 212 | Date: 2015-06-13 | Daily DSV: 0 | Cumulative DSV: 0
Station: 212 | Date: 2015-06-14 | Daily DSV: 0 | Cumulative DSV: 0
Station: 212 | Date: 2015-06-15 | Daily DSV: 0 | Cumulative DSV: 0
Station: 212 | Date: 2015-06-16 | Daily DSV: 0 | Cumulative DSV: 0
Station: 212 | Date: 2015-06-17 | Daily DSV: 0 | Cumulative DSV: 0
Station: 212 | Date: 2015-06-18 | Daily DSV: 0 | Cumulative DSV: 0
Station: 212 | Date: 2015-06-19 | Daily DSV: 0 | Cumulative DSV: 0
Station: 212 | Date: 2015-06-20 | Daily DSV: 0 | Cumulative DSV: 0
Station: 212 | Date: 2015-06-21 | Daily DSV: 0 | Cumulative DSV: 0
Station: 212 | Date: 2015-06-22 | Daily DSV: 0 | Cumulative DSV: 0
Station: 212 | Date: 2015-06-23 | Daily DSV: 0 | Cumulative DSV: 0
Station: 212 | Date: 2015-06-24 | Daily DSV: 0 | Cumulative DSV: 0
Station: 212 | Date: 2015-06-25 | Daily DSV: 0 | Cumulative DSV: 0
Station: 212 | Date: 2015-06-26 | Daily DSV: 0 | Cumulative DSV: 0
Station: 212 | Date: 2015-06-27 | Daily DSV: 1 | Cumulative DSV: 1
Station: 212 | Date: 2015-06-28 | Daily DSV: 0 | Cumulative DSV: 1
Station: 212 | Date: 2015-06-29 | Daily DSV: 1 | Cumulative DSV: 2
Station: 212 | Date: 2015-06-30 | Daily DSV: 1 | Cumulative DSV: 3
Station: 212 | Date: 2015-07-01 | Daily DSV: 1 | Cumulative DSV: 4
Station: 212 | Date: 2015-07-02 | Daily DSV: 2 | Cumulative DSV: 6
Station: 212 | Date: 2015-07-03 | Daily DSV: 0 | Cumulative DSV: 6
Station: 212 | Date: 2015-07-04 | Daily DSV: 3 | Cumulative DSV: 9
Station: 212 | Date: 2015-07-05 | Daily DSV: 1 | Cumulative DSV: 10
Station: 212 | Date: 2015-07-06 | Daily DSV: 0 | Cumulative DSV: 10
Station: 212 | Date: 2015-07-07 | Daily DSV: 0 | Cumulative DSV: 10
Station: 212 | Date: 2015-07-08 | Daily DSV: 1 | Cumulative DSV: 11
Station: 212 | Date: 2015-07-09 | Daily DSV: 0 | Cumulative DSV: 11
Station: 212 | Date: 2015-07-10 | Daily DSV: 1 | Cumulative DSV: 12
Station: 212 | Date: 2015-07-11 | Daily DSV: 0 | Cumulative DSV: 12
Station: 212 | Date: 2015-07-12 | Daily DSV: 1 | Cumulative DSV: 13
Station: 212 | Date: 2015-07-13 | Daily DSV: 2 | Cumulative DSV: 15
Station: 212 | Date: 2015-07-14 | Daily DSV: 4 | Cumulative DSV: 19
Station: 212 | Date: 2015-07-15 | Daily DSV: 2 | Cumulative DSV: 21
Station: 212 | Date: 2015-07-16 | Daily DSV: 2 | Cumulative DSV: 23
Station: 212 | Date: 2015-07-17 | Daily DSV: 1 | Cumulative DSV: 24
Station: 212 | Date: 2015-07-18 | Daily DSV: 1 | Cumulative DSV: 25
Station: 212 | Date: 2015-07-19 | Daily DSV: 1 | Cumulative DSV: 26
Station: 212 | Date: 2015-07-20 | Daily DSV: 1 | Cumulative DSV: 27
Station: 212 | Date: 2015-07-21 | Daily DSV: 1 | Cumulative DSV: 28
Station: 212 | Date: 2015-07-22 | Daily DSV: 1 | Cumulative DSV: 29
Station: 212 | Date: 2015-07-23 | Daily DSV: 3 | Cumulative DSV: 32
Station: 212 | Date: 2015-07-24 | Daily DSV: 1 | Cumulative DSV: 33
Station: 212 | Date: 2015-07-25 | Daily DSV: 1 | Cumulative DSV: 34
Station: 212 | Date: 2015-07-26 | Daily DSV: 1 | Cumulative DSV: 35
Station: 212 | Date: 2015-07-27 | Daily DSV: 1 | Cumulative DSV: 36
Station: 212 | Date: 2015-07-28 | Daily DSV: 2 | Cumulative DSV: 38
Station: 212 | Date: 2015-07-29 | Daily DSV: 1 | Cumulative DSV: 39
Station: 212 | Date: 2015-07-30 | Daily DSV: 1 | Cumulative DSV: 40
Station: 212 | Date: 2015-07-31 | Daily DSV: 1 | Cumulative DSV: 41
Station: 212 | Date: 2015-08-01 | Daily DSV: 1 | Cumulative DSV: 42
Station: 212 | Date: 2015-08-02 | Daily DSV: 1 | Cumulative DSV: 43
Station: 212 | Date: 2015-08-03 | Daily DSV: 0 | Cumulative DSV: 43
Station: 212 | Date: 2015-08-04 | Daily DSV: 0 | Cumulative DSV: 43
Station: 212 | Date: 2015-08-05 | Daily DSV: 3 | Cumulative DSV: 46
Station: 212 | Date: 2015-08-06 | Daily DSV: 3 | Cumulative DSV: 49
Station: 212 | Date: 2015-08-07 | Daily DSV: 1 | Cumulative DSV: 50
Station: 212 | Date: 2015-08-08 | Daily DSV: 1 | Cumulative DSV: 51
Station: 212 | Date: 2015-08-09 | Daily DSV: 1 | Cumulative DSV: 52
