StnID,StationName
201,Treherne
202,Starbuck
203,St. Pierre
204,Gladstone
205,Moosehorn
206,Arborg
207,Teulon
208,Souris
209,Boissevain
210,Selkirk
211,Ste. Rose
212,Carman
213,Ethelbert
214,Hamiota
215,Russell
216,Birtle
217,Dugald
218,Eriksdale
219,Grandview
220,Killarney
221,Minnedosa
222,Morris
223,Steinbach
224,Virden
225,Woodlands
229,Marchand
230,Winkler
231,Swan Valley
232,Pierson
233,Forrest
235,Portage
237,Elm Creek
238,Letellier
239,Glenboro
240,Wawanesa
241,Deloraine
242,Manitou
243,StAdolphe
244,Altona
245,RestonWADO
246,Somerset
251,Beausejour
252,Narcisse
253,Alonsa
255,Menisino
318,Carberry
501,Clearwater
502,Cartwright
503,Baldur
504,Findlay
505,Argue
506,Minto
507,Waskada
508,Mountainside
509,Ninette
510,Minitonas
511,Fork River
512,Drifting River
513,Windygates
514,Snowflake
515,Taylor's Point
516,Inwood
517,Fisherton
518,Gardenton
519,Zhoda
520,Ruthenia
521,Vivian
522,Elma
523,Oakburn
524,Kane
525,Inglis
526,Pipe Lake
527,San Clara
528,Rorketon
529,St Lazare
530,Brunkild
531,Kola
532,Keld
533,Austin
534,Bagot
535,Dominion City
536,Elie
537,Marchand
538,Rosa
539,Lakeland
540,Plumas
541,Newdale
542,Dand
543,Sinclair
544,Alexander
545,Eden
546,McAuley
547,Miniota
548,Kenton
549,Lake Audy
550,Rivers
551,Neepawa
552,Reedy Creek
553,Laurier
554,St. Claude
555,Stonewall
556,Lake Francis
557,Lac du Bonnet
558,Shilo
559,Holland
560,Prawda
561,Sprague Lake
562,Poplarfield
563,Birch River
740,Bede
