Station Name (unitless),TC ID (unitless),Max Temperature (Celsius),Min Temperature (Celsius),Rain Amount (mm),Snow Amount (cm),Total Precipitation (mm),record_low_temperature (Celsius),record_high_temperature (Celsius),record_snow_amount (cm),wind_direction (code),latitude (degree),longitude (degree),wind_gust_speed (km/h),record_rain_amount (mm),hot_spot_location_province (unitless),climate_station_number (unitless),creation_date_utc (unitless),observation_date_local_time (unitless),observation_date_utc (unitless),province (unitless),cold_spot_location_province (unitless),language (unitless),license (unitless),hot_spot_location_canada (unitless),wmo_station_number (unitless),cold_spot_location_canada (unitless)
,,,,,,,,,,,,,,,Cross Lake Jenpeg,,2019-05-27T12:50:00.000Z,,2019-05-27T12:45:00.000Z,MB,Tadoule Lake,EN,http://dd.weatheroffice.ec.gc.ca/doc/LICENCE_GENERAL.txt,Bella Coola,,Rankin Inlet Airport
Berens River,WCF,9.7,-4.5,,,0.0,-4.1,26.0,0.0,NW,52.359737,-97.021953,37,17.0,,5030203,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71158,
Brandon,PBO,10.1,1.9,,,15.8,2.2,29.0,,ENE,49.9,-99.95,39,,,5010490,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71136,
Brandon Airport,YBR,9.9,1.6,,,15.9,-4.3,34.4,5.8,ENE,49.91,-99.952222,44,14.2,,5010481,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71140,
Carberry,WZE,11.1,2.1,,,11.2,-2.4,29.9,0.0,E,49.905806,-99.357444,35,3.8,,5010547,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71170,
Carman,WNK,7.7,2.2,,,8.6,-1.1,29.2,0.0,NNE,49.498111,-98.02975,33,7.0,,502I001,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71147,
Churchill,PYQ,12.0,-3.3,,,0.3,-6.7,23.2,0.0,,58.733333,-94.066667,,0.0,,5060608,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71696,
Cross Lake Jenpeg,PJP,18.4,2.8,,,,8.7,14.0,,,54.539722,-98.030278,,,,5060622,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71106,
Cypress River,POY,6.6,0.4,,,14.2,-1.9,30.1,,E,49.562222,-99.073889,33,,,5010641,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71239,
Dauphin Airport,YDN,14.1,-3.4,,,0.0,-0.5,29.2,,ENE,51.100833,-100.0525,41,,,5040689,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71036,
Dauphin Climate,WZT,13.8,-3.7,,,0.0,-3.1,29.9,0.0,ENE,51.100389,-100.056889,41,3.0,,5040681,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71550,
Deerwood,XDW,7.4,1.8,,,4.8,-1.6,29.5,0.0,NNE,49.399833,-98.31925,31,10.8,,5020725,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71840,
Emerson,WEX,9.0,6.3,,,3.0,4.4,29.8,,N,49.0,-97.2375,33,,,5020881,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71560,
Fisher Branch,WSZ,14.1,-0.6,,,0.4,-4.5,28.5,0.0,N,51.083361,-97.5545,37,0.6,,50309J6,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71442,
Flin Flon,WFO,16.1,1.4,,,0.0,-2.7,24.7,0.0,,54.683333,-101.683333,,3.6,,5050919,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71954,
Gillam Airport,YGX,14.6,-4.1,0.0,0.0,0.0,-7.2,32.1,2.2,WSW,56.357778,-94.710833,33,13.0,,5061022,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71912,
Gimli,PGH,12.6,2.5,,,0.0,-2.3,28.5,0.0,NNE,50.633333,-97.05,33,0.0,,5031042,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71748,
Gimli Harbour,XGH,,,,,,2.8,28.2,0.0,NNE,50.631111,-96.982222,41,0.0,,5031041,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71577,
Grand Rapids,WJD,13.2,-4.9,,,0.0,-7.1,27.4,0.0,,53.186407,-99.267805,,4.8,,5031A10,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71858,
Great Falls,PGF,14.5,3.7,,,0.8,-0.1,28.3,0.0,,50.522222,-95.977222,,5.6,,5031201,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71570,
Gretna,WGN,9.6,5.8,,,2.7,-2.8,30.0,0.0,NNE,49.030834,-97.560001,35,25.4,,5021220,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71441,
Island Lake Airport,YIV,12.3,-0.3,0.0,0.0,0.0,-3.1,30.4,0.6,,53.857222,-94.653611,,25.8,,5061375,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71145,
Kelsey Dam,ZKD,15.8,-4.7,,,0.0,-4.3,26.4,0.0,W,56.0375,-96.509722,33,0.0,,5061422,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71572,
Kleefeld,PTG,9.6,4.1,,,11.6,8.3,29.3,,N,49.517778,-96.901111,33,,,5021500,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71646,
Lynn Lake,PLE,15.5,-3.5,,,0.0,-1.8,21.1,,SW,56.850117,-101.066668,41,,,5061649,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71632,
Lynn Lake Airport,YYL,14.6,-3.0,,,0.0,,,,SW,56.863889,-101.076111,44,,,5061645,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71078,
McCreary,WOO,13.7,0.8,,,0.4,-2.5,30.0,0.0,,50.711945,-99.530001,,8.0,,5043158,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71149,
Melita,WEI,9.5,-1.3,,,0.5,-2.3,33.0,0.0,ENE,49.281278,-100.986361,46,6.8,,501A7AR,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71447,
Morden AAFC,XMD,7.9,4.4,,,1.9,-0.5,29.4,0.0,,49.187639,-98.083944,,37.2,,5021849,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71564,
Norway House Airport,YNE,12.6,-2.4,,,0.0,-1.0,26.1,,,53.958333,-97.844167,,,,5062040,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71410,
Oak Point Marine,WOJ,14.6,4.6,,,,-1.1,26.9,0.0,,50.499457,-98.036675,,2.0,,504K0NM,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71144,
Pilot Mound,WPO,8.9,1.5,,,,-1.7,32.2,0.8,ENE,49.191028,-98.904861,43,34.3,,5022125,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71148,
Pinawa,WEA,14.1,1.2,,,,-3.1,28.3,0.0,,50.177228,-96.064722,,20.0,,503B1ER,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71448,
Portage Southport,WPG,12.9,4.2,,,3.5,-1.3,29.0,0.0,ENE,49.903139,-98.284139,33,2.2,,5012324,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71851,
Roblin,WXB,13.8,-1.0,,,0.0,-0.2,28.6,0.0,E,51.183338,-101.362797,46,6.2,,5012469,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71553,
Shoal Lake,WUT,13.9,3.4,,,0.7,-3.3,27.4,0.0,ENE,50.454889,-100.6035,41,2.0,,5012654,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71150,
Sprague,WSU,8.8,5.3,,,3.8,-3.1,27.2,0.0,,49.023611,-95.598336,,29.8,,5022759,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71449,
Swan River,WEQ,14.6,-1.6,,,0.0,-2.7,29.0,0.0,,52.114972,-101.232917,,10.2,,504K80K,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71443,
Tadoule Lake,XBQ,14.9,-6.8,,,0.9,-6.1,26.6,0.0,W,58.715833,-98.501667,46,1.8,,5062840,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71334,
Tadoule Lake Airport,YBQ,15.0,-5.8,,,0.0,-5.2,22.1,,WSW,58.706111,-98.512222,44,,,5062835,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71272,
The Pas,PQD,15.2,1.6,,,0.0,-2.0,23.7,,,53.966667,-101.1,,,,5052890,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71695,
The Pas Airport,YQD,15.3,0.5,,,0.0,-3.3,30.2,2.5,W,53.971389,-101.091111,33,39.1,,5052882,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71867,
Thompson Airport,YTH,16.7,-5.2,0.0,0.0,0.0,-6.7,32.1,0.0,W,55.804722,-97.8625,57,24.4,,5062921,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71079,
Victoria Beach,WII,10.9,4.7,,,,3.6,25.6,0.0,,50.7,-96.566667,,0.0,,5032951,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71552,
Wasagaming,WWP,12.4,-0.5,,,0.2,-5.5,30.6,0.0,,50.655002,-99.941947,,8.9,,5013117,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71444,
Winnipeg,XWG,13.6,1.6,,,0.4,-3.7,29.6,0.0,NE,49.916667,-97.249444,33,7.7,,502S001,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71849,
Winnipeg - The Forks,XWN,13.6,5.4,,,0.9,2.8,29.6,0.0,,49.888336,-97.129446,,15.6,,5023262,,2019-05-27T07:45:00.000 CDT,2019-05-27T12:45:00.000Z,,,,,,71579,
