Station: 212 | Date: 2015-06-02 | Daily DSV: 0 | Cumulative DSV: 0 | Count: 50 | Avg. Temp: 12.64
Station: 212 | Date: 2015-06-03 | Daily DSV: 0 | Cumulative DSV: 0 | Count: 0 | Avg. Temp: 0.00
Station: 212 | Date: 2015-06-04 | Daily DSV: 0 | Cumulative DSV: 0 | Count: 3 | Avg. Temp: 8.00
Station: 212 | Date: 2015-06-05 | Daily DSV: 0 | Cumulative DSV: 0 | Count: 11 | Avg. Temp: 8.93
Station: 212 | Date: 2015-06-06 | Daily DSV: 0 | Cumulative DSV: 0 | Count: 29 | Avg. Temp: 14.99
Station: 212 | Date: 2015-06-07 | Daily DSV: 0 | Cumulative DSV: 0 | Count: 9 | Avg. Temp: 14.61
Station: 212 | Date: 2015-06-08 | Daily DSV: 0 | Cumulative DSV: 0 | Count: 29 | Avg. Temp: 13.21
Station: 212 | Date: 2015-06-09 | Daily DSV: 0 | Cumulative DSV: 0 | Count: 12 | Avg. Temp: 17.33
Station: 212 | Date: 2015-06-10 | Daily DSV: 0 | Cumulative DSV: 0 | Count: 35 | Avg. Temp: 9.84
Station: 212 | Date: 2015-06-11 | Daily DSV: 0 | Cumulative DSV: 0 | Count: 25 | Avg. Temp: 12.78
Station: 212 | Date: 2015-06-12 | Daily DSV: 0 | Cumulative DSV: 0 | Count: 16 | Avg. Temp: 11.95
Station: 212 | Date: 2015-06-13 | Daily DSV: 0 | Cumulative DSV: 0 | Count: 36 | Avg. Temp: 15.59
Station: 212 | Date: 2015-06-14 | Daily DSV: 0 | Cumulative DSV: 0 | Count: 37 | Avg. Temp: 9.80
Station: 212 | Date: 2015-06-15 | Daily DSV: 0 | Cumulative DSV: 0 | Count: 24 | Avg. Temp: 9.00
Station: 212 | Date: 2015-06-16 | Daily DSV: 0 | Cumulative DSV: 0 | Count: 5 | Avg. Temp: 8.38
Station: 212 | Date: 2015-06-17 | Daily DSV: 0 | Cumulative DSV: 0 | Count: 33 | Avg. Temp: 11.28
Station: 212 | Date: 2015-06-18 | Daily DSV: 0 | Cumulative DSV: 0 | Count: 36 | Avg. Temp: 10.95
Station: 212 | Date: 2015-06-19 | Daily DSV: 0 | Cumulative DSV: 0 | Count: 3 | Avg. Temp: 11.47
Station: 212 | Date: 2015-06-20 | Daily DSV: 0 | Cumulative DSV: 0 | Count: 49 | Avg. Temp: 13.75
Station: 212 | Date: 2015-06-21 | Daily DSV: 0 | Cumulative DSV: 0 | Count: 42 | Avg. Temp: 10.54
Station: 212 | Date: 2015-06-22 | Daily DSV: 0 | Cumulative DSV: 0 | Count: 45 | Avg. Temp: 13.58
