Station Name (b'unitless'),TC ID (b'unitless'),Max Temperature (b'Celsius'),Min Temperature (b'Celsius'),Rain Amount (b'mm'),Snow Amount (b'cm'),Total Precipitation (b'mm'),record_high_temperature (b'Celsius'),record_low_temperature (b'Celsius'),record_snow_amount (b'cm'),wind_direction (b'code'),latitude (b'degree'),longitude (b'degree'),wind_gust_speed (b'km/h'),record_rain_amount (b'mm'),province (b'unitless'),creation_date_utc (b'unitless'),observation_date_utc (b'unitless'),license (b'unitless'),language (b'unitless'),hot_spot_location_canada (b'unitless'),cold_spot_location_canada (b'unitless'),hot_spot_location_province (b'unitless'),cold_spot_location_province (b'unitless'),observation_date_local_time (b'unitless'),climate_station_number (b'unitless'),wmo_station_number (b'unitless')
,,,,,,,,,,,,,,,MB,2019-08-21T13:14:00.000Z,2019-08-21T13:10:00.000Z,http://dd.weatheroffice.ec.gc.ca/doc/LICENCE_GENERAL.txt,EN,Lytton Climate,Svartevaeg,Emerson,Grand Rapids,,,
Berens River,WCF,19.0,11.5,,,0.0,30.2,3.2,0.0,WNW,52.359737,-97.021953,48,15.0,,,2019-08-21T13:10:00.000Z,,,,,,,2019-08-21T08:10:00.000 CDT,5030203,71158
Brandon,PBO,22.2,8.7,,,0.0,27.9,4.2,,NW,49.9,-99.95,43,,,,2019-08-21T13:10:00.000Z,,,,,,,2019-08-21T08:10:00.000 CDT,5010490,71136
Brandon Airport,YBR,22.3,7.7,0.0,0.0,0.0,36.7,-0.3,0.0,NNW,49.91,-99.952222,48,77.6,,,2019-08-21T13:10:00.000Z,,,,,,,2019-08-21T08:10:00.000 CDT,5010481,71140
Carberry,WZE,22.4,9.2,,,0.0,34.0,-1.0,0.0,W,49.905806,-99.357444,39,6.4,,,2019-08-21T13:10:00.000Z,,,,,,,2019-08-21T08:10:00.000 CDT,5010547,71170
Carman,WNK,23.4,12.6,,,0.0,33.6,2.6,0.0,NW,49.498111,-98.02975,33,6.6,,,2019-08-21T13:10:00.000Z,,,,,,,2019-08-21T08:10:00.000 CDT,502I001,71147
Churchill,PYQ,9.8,7.8,,,3.3,25.2,4.0,0.0,NNE,58.733333,-94.066667,44,2.4,,,2019-08-21T13:10:00.000Z,,,,,,,2019-08-21T08:10:00.000 CDT,5060608,71696
Cross Lake Jenpeg,PJP,18.3,12.2,,,2.4,19.9,9.0,,,54.539722,-98.030278,,,,,2019-08-21T13:10:00.000Z,,,,,,,2019-08-21T08:10:00.000 CDT,5060622,71106
Cypress River,POY,22.1,8.7,,,0.0,29.6,2.3,,NW,49.562222,-99.073889,31,,,,2019-08-21T13:10:00.000Z,,,,,,,2019-08-21T08:10:00.000 CDT,5010641,71239
Dauphin Airport,YDN,22.3,5.8,,,0.0,27.3,5.5,,W,51.100833,-100.0525,52,,,,2019-08-21T13:10:00.000Z,,,,,,,2019-08-21T08:10:00.000 CDT,5040689,71036
